# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.02046e+00  2.11496e-02 
  1.62406e-03  9.87110e-01  1.65889e-02 
  2.24812e-03  1.01048e+00  1.40909e-02 
  2.87218e-03  9.94007e-01  1.24562e-02 
  3.49624e-03  9.87764e-01  1.12784e-02 
  4.12030e-03  9.95520e-01  1.03766e-02 
  4.74436e-03  1.00284e+00  9.65633e-03 
  5.36842e-03  9.98471e-01  9.06301e-03 
  5.99248e-03  9.97552e-01  8.56249e-03 
  6.61654e-03  9.79798e-01  8.13221e-03 
  7.24060e-03  9.87633e-01  7.75657e-03 
  7.86466e-03  9.76080e-01  7.42441e-03 
  8.48872e-03  9.75169e-01  7.12752e-03 
  9.11278e-03  9.57211e-01  6.85967e-03 
  9.73684e-03  9.60077e-01  6.61609e-03 
  1.03609e-02  9.47064e-01  6.39300e-03 
  1.09850e-02  9.45451e-01  6.18741e-03 
  1.16090e-02  9.45927e-01  5.99690e-03 
  1.22331e-02  9.27781e-01  5.81948e-03 
  1.28571e-02  9.22992e-01  5.65350e-03 
  1.34812e-02  9.19285e-01  5.49762e-03 
  1.41053e-02  9.10328e-01  5.35066e-03 
  1.47293e-02  8.91879e-01  5.21167e-03 
  1.53534e-02  8.83817e-01  5.07979e-03 
  1.59774e-02  8.78335e-01  4.95431e-03 
  1.66015e-02  8.67896e-01  4.83461e-03 
  1.72256e-02  8.65449e-01  4.72015e-03 
  1.78496e-02  8.59211e-01  4.61046e-03 
  1.84737e-02  8.43143e-01  4.50513e-03 
  1.90977e-02  8.38283e-01  4.40378e-03 
  1.97218e-02  8.19161e-01  4.30609e-03 
  2.03459e-02  8.05855e-01  4.21179e-03 
  2.09699e-02  7.98315e-01  4.12060e-03 
  2.15940e-02  7.92629e-01  4.03231e-03 
  2.22180e-02  7.72992e-01  3.94670e-03 
  2.28421e-02  7.69099e-01  3.86359e-03 
  2.34662e-02  7.55048e-01  3.78282e-03 
  2.40902e-02  7.38842e-01  3.70424e-03 
  2.47143e-02  7.31877e-01  3.62770e-03 
  2.53383e-02  7.20529e-01  3.55310e-03 
  2.59624e-02  6.99393e-01  3.48030e-03 
  2.65865e-02  6.91177e-01  3.40922e-03 
  2.72105e-02  6.73484e-01  3.33975e-03 
  2.78346e-02  6.67333e-01  3.27182e-03 
  2.84586e-02  6.58172e-01  3.20534e-03 
  2.90827e-02  6.46777e-01  3.14025e-03 
  2.97068e-02  6.33531e-01  3.07648e-03 
  3.03308e-02  6.17754e-01  3.01396e-03 
  3.09549e-02  6.08087e-01  2.95265e-03 
  3.15789e-02  5.92950e-01  2.89249e-03 
  3.22030e-02  5.75755e-01  2.83344e-03 
  3.28271e-02  5.69310e-01  2.77544e-03 
  3.34511e-02  5.57861e-01  2.71847e-03 
  3.40752e-02  5.36499e-01  2.66249e-03 
  3.46992e-02  5.34513e-01  2.60745e-03 
  3.53233e-02  5.18345e-01  2.55334e-03 
  3.59474e-02  4.98916e-01  2.50012e-03 
  3.65714e-02  4.93211e-01  2.44775e-03 
  3.71955e-02  4.81867e-01  2.39623e-03 
  3.78195e-02  4.64573e-01  2.34553e-03 
  3.84436e-02  4.55177e-01  2.29561e-03 
  3.90677e-02  4.39992e-01  2.24647e-03 
  3.96917e-02  4.27259e-01  2.19809e-03 
  4.03158e-02  4.17484e-01  2.15044e-03 
  4.09398e-02  4.05706e-01  2.10351e-03 
  4.15639e-02  3.92686e-01  2.05730e-03 
  4.21880e-02  3.83476e-01  2.01177e-03 
  4.28120e-02  3.70428e-01  1.96692e-03 
  4.34361e-02  3.59361e-01  1.92274e-03 
  4.40602e-02  3.48597e-01  1.87922e-03 
  4.46842e-02  3.37368e-01  1.83634e-03 
  4.53083e-02  3.26735e-01  1.79410e-03 
  4.59323e-02  3.13424e-01  1.75249e-03 
  4.65564e-02  3.04981e-01  1.71150e-03 
  4.71805e-02  2.91493e-01  1.67111e-03 
  4.78045e-02  2.83509e-01  1.63133e-03 
  4.84286e-02  2.73169e-01  1.59215e-03 
  4.90526e-02  2.66834e-01  1.55355e-03 
  4.96767e-02  2.58046e-01  1.51554e-03 
  5.03008e-02  2.45638e-01  1.47811e-03 
  5.09248e-02  2.36694e-01  1.44124e-03 
  5.15489e-02  2.27776e-01  1.40495e-03 
  5.21729e-02  2.18265e-01  1.36922e-03 
  5.27970e-02  2.09272e-01  1.33405e-03 
  5.34211e-02  2.01964e-01  1.29943e-03 
  5.40451e-02  1.90837e-01  1.26536e-03 
  5.46692e-02  1.87267e-01  1.23184e-03 
  5.52932e-02  1.76255e-01  1.19886e-03 
  5.59173e-02  1.69881e-01  1.16642e-03 
  5.65414e-02  1.62642e-01  1.13451e-03 
  5.71654e-02  1.54167e-01  1.10314e-03 
  5.77895e-02  1.46803e-01  1.07230e-03 
  5.84135e-02  1.39961e-01  1.04199e-03 
  5.90376e-02  1.32750e-01  1.01220e-03 
  5.96617e-02  1.28034e-01  9.82935e-04 
  6.02857e-02  1.20901e-01  9.54191e-04 
  6.09098e-02  1.15118e-01  9.25964e-04 
  6.15338e-02  1.10027e-01  8.98253e-04 
  6.21579e-02  1.02060e-01  8.71056e-04 
  6.27820e-02  9.83984e-02  8.44370e-04 
  6.34060e-02  9.40791e-02  8.18196e-04 
  6.40301e-02  8.76069e-02  7.92529e-04 
  6.46541e-02  8.25443e-02  7.67370e-04 
  6.52782e-02  8.07501e-02  7.42716e-04 
  6.59023e-02  7.44888e-02  7.18565e-04 
  6.65263e-02  7.06822e-02  6.94918e-04 
  6.71504e-02  6.58555e-02  6.71772e-04 
  6.77744e-02  6.29489e-02  6.49126e-04 
  6.83985e-02  5.89460e-02  6.26980e-04 
  6.90226e-02  5.49416e-02  6.05333e-04 
  6.96466e-02  5.20667e-02  5.84183e-04 
  7.02707e-02  4.84785e-02  5.63532e-04 
  7.08947e-02  4.45817e-02  5.43377e-04 
