<X> <Y>
1.000000000000000e-03 1.005487461999185e+00
1.624060000000000e-03 1.004638711921674e+00
2.248120000000000e-03 1.003387427275670e+00
2.872180000000000e-03 1.001734953328366e+00
3.496240000000000e-03 9.996830655278519e-01
4.120300000000000e-03 9.972339666482385e-01
4.744360000000000e-03 9.943902832500029e-01
5.368420000000000e-03 9.911550614628275e-01
5.992480000000000e-03 9.875317620994993e-01
6.616540000000000e-03 9.835242551108455e-01
7.240600000000000e-03 9.791368133929915e-01
7.864660000000001e-03 9.743741059595430e-01
8.488720000000000e-03 9.692411904925606e-01
9.112779999999999e-03 9.637435052874495e-01
9.736840000000000e-03 9.578868606080796e-01
1.036090000000000e-02 9.516774294696271e-01
1.098500000000000e-02 9.451213067187514e-01
1.160900000000000e-02 9.382268808110564e-01
1.223310000000000e-02 9.309991429519570e-01
1.285710000000000e-02 9.234479292651606e-01
1.348120000000000e-02 9.155786497918421e-01
1.410530000000000e-02 9.074006167988966e-01
1.472930000000000e-02 8.989236243002339e-01
1.535340000000000e-02 8.901536369795455e-01
1.597740000000000e-02 8.811024024992731e-01
1.660150000000000e-02 8.717762026577217e-01
1.722560000000000e-02 8.621858792914878e-01
1.784960000000000e-02 8.523426587527624e-01
1.847370000000000e-02 8.422532145766418e-01
1.909770000000000e-02 8.319307921143295e-01
1.972180000000000e-02 8.213822678512648e-01
2.034590000000000e-02 8.106196193371283e-01
2.096990000000000e-02 7.996551014628014e-01
2.159400000000000e-02 7.884958052050759e-01
2.221800000000000e-02 7.771560187028413e-01
2.284210000000000e-02 7.656429151330838e-01
2.346620000000000e-02 7.539691843826692e-01
2.409020000000000e-02 7.421476813648864e-01
2.471430000000000e-02 7.301856111682329e-01
2.533830000000000e-02 7.180978297338277e-01
2.596240000000000e-02 7.058915030814000e-01
2.658650000000000e-02 6.935796002286655e-01
2.721050000000000e-02 6.811751426533555e-01
2.783460000000000e-02 6.686851494276298e-01
2.845860000000000e-02 6.561245705070697e-01
2.908270000000000e-02 6.435002700324463e-01
2.970680000000000e-02 6.308250726461895e-01
3.033080000000000e-02 6.181117473475499e-01
3.095490000000000e-02 6.053668447779958e-01
3.157890000000000e-02 5.926049567626007e-01
3.220300000000000e-02 5.798323740041350e-01
3.282710000000000e-02 5.670613812797692e-01
3.345110000000000e-02 5.543041083823563e-01
3.407520000000000e-02 5.415663859130597e-01
3.469920000000000e-02 5.288620356036648e-01
3.532330000000000e-02 5.161965386417756e-01
3.594740000000000e-02 5.035812886146842e-01
3.657140000000000e-02 4.910274372194970e-01
3.719550000000000e-02 4.785398851831404e-01
3.781950000000000e-02 4.661313280759970e-01
3.844360000000000e-02 4.538062469353458e-01
3.906770000000000e-02 4.415748501907168e-01
3.969170000000000e-02 4.294470327929614e-01
4.031580000000000e-02 4.174266058406291e-01
4.093980000000000e-02 4.055248507338005e-01
4.156390000000000e-02 3.937451102908641e-01
4.218800000000000e-02 3.820961808201418e-01
4.281200000000000e-02 3.705864908584267e-01
4.343610000000000e-02 3.592186574751199e-01
4.406020000000000e-02 3.480005509009921e-01
4.468420000000000e-02 3.369396497854391e-01
4.530830000000000e-02 3.260378285611900e-01
4.593230000000000e-02 3.153036986417561e-01
4.655640000000000e-02 3.047386360992425e-01
4.718050000000000e-02 2.943488881282628e-01
4.780450000000000e-02 2.841402854426128e-01
4.842860000000000e-02 2.741134605424621e-01
4.905260000000000e-02 2.642752265179559e-01
4.967670000000000e-02 2.546257278320412e-01
5.030080000000000e-02 2.451695528727064e-01
5.092480000000000e-02 2.359108666264251e-01
5.154890000000000e-02 2.268491011145617e-01
5.217290000000000e-02 2.179892650957340e-01
5.279700000000000e-02 2.093303331662232e-01
5.342110000000000e-02 2.008752685546015e-01
5.404510000000000e-02 1.926266208207797e-01
5.466920000000000e-02 1.845827116692469e-01
5.529320000000000e-02 1.767468106995707e-01
5.591730000000000e-02 1.691168302080607e-01
5.654140000000000e-02 1.616942038619890e-01
5.716540000000000e-02 1.544799760136294e-01
5.778950000000000e-02 1.474714891214098e-01
5.841350000000000e-02 1.406704005007675e-01
5.903760000000000e-02 1.340737050110939e-01
5.966170000000000e-02 1.276814542805546e-01
6.028570000000000e-02 1.214933470206066e-01
6.090980000000000e-02 1.155059089914085e-01
6.153380000000000e-02 1.097193620130833e-01
6.215790000000000e-02 1.041299557639218e-01
6.278200000000000e-02 9.873654744039127e-02
6.340600000000000e-02 9.353768682978342e-02
6.403010000000001e-02 8.852926660916990e-02
6.465410000000001e-02 8.371028654024217e-02
6.527819999999999e-02 7.907644015698424e-02
6.590230000000000e-02 7.462560507038633e-02
6.652630000000000e-02 7.035540299592413e-02
6.715040000000000e-02 6.626128749538558e-02
6.777440000000000e-02 6.234127247382876e-02
6.839850000000000e-02 5.859069048539946e-02
6.902260000000000e-02 5.500666859245372e-02
6.964660000000000e-02 5.158613239687052e-02
7.027070000000001e-02 4.832429029050173e-02
7.089470000000000e-02 4.521841561814660e-02
7.151879999999999e-02 4.226367117355517e-02
7.214290000000000e-02 3.945666420305789e-02
7.276690000000000e-02 3.679385495185397e-02
7.339100000000000e-02 3.427039110605513e-02
7.401500000000000e-02 3.188304713295457e-02
7.463910000000000e-02 2.962699438781928e-02
7.526320000000000e-02 2.749854144729662e-02
7.588720000000000e-02 2.549390180426021e-02
7.651130000000000e-02 2.360832935499480e-02
7.713530000000000e-02 2.183832663890349e-02
7.775940000000001e-02 2.017923159215160e-02
7.838349999999999e-02 1.862725614104470e-02
7.900749999999999e-02 1.717856437782203e-02
7.963160000000000e-02 1.582865945069147e-02
8.025560000000000e-02 1.457397512994599e-02
8.087970000000000e-02 1.341014808706566e-02
8.150380000000000e-02 1.233346906455670e-02
8.212780000000000e-02 1.134022194032215e-02
8.275190000000000e-02 1.042627390801746e-02
8.337590000000000e-02 9.588162642823469e-03
8.400000000000001e-02 8.821926274652354e-03
8.462409999999999e-02 8.124078172529239e-03
8.524809999999999e-02 7.491158464262839e-03
8.587220000000000e-02 6.919482580603252e-03
8.649620000000000e-02 6.405830086735015e-03
8.712030000000000e-02 5.946712305902766e-03
8.774440000000000e-02 5.538974648951513e-03
8.836840000000000e-02 5.179515040163970e-03
8.899250000000000e-02 4.865150337849435e-03
8.961650000000000e-02 4.593003537314666e-03
9.024060000000000e-02 4.360100238501822e-03
9.086470000000001e-02 4.163692429701562e-03
9.148870000000001e-02 4.001102482108474e-03
9.211279999999999e-02 3.869672241445902e-03
9.273679999999999e-02 3.766933729177604e-03
9.336090000000000e-02 3.690439258423877e-03
9.398500000000000e-02 3.637888579108047e-03
9.460900000000000e-02 3.607062233575408e-03
9.523310000000000e-02 3.595823845078351e-03
9.585710000000000e-02 3.602146558660826e-03
9.648120000000000e-02 3.624096552887650e-03
9.710530000000001e-02 3.659832370433186e-03
