<X> <Y>
1.000000000000000e-03 1.004748952627326e+00
1.624060000000000e-03 1.003902502780071e+00
2.248120000000000e-03 1.002654604927850e+00
2.872180000000000e-03 1.001006595685741e+00
3.496240000000000e-03 9.989602391037989e-01
4.120300000000000e-03 9.965177238477088e-01
4.744360000000000e-03 9.936816597031076e-01
5.368420000000000e-03 9.904550734106571e-01
5.992480000000000e-03 9.868414038402793e-01
6.616540000000000e-03 9.828444965143019e-01
7.240600000000000e-03 9.784685974905746e-01
7.864660000000001e-03 9.737183466178910e-01
8.488720000000000e-03 9.685987701772930e-01
9.112779999999999e-03 9.631152729240701e-01
9.736840000000000e-03 9.572736295464325e-01
1.036090000000000e-02 9.510799755579888e-01
1.098500000000000e-02 9.445403675744699e-01
1.160900000000000e-02 9.376631492435932e-01
1.223310000000000e-02 9.304532747170716e-01
1.285710000000000e-02 9.229205304001193e-01
1.348120000000000e-02 9.150702869497814e-01
1.410530000000000e-02 9.069118072478743e-01
1.472930000000000e-02 8.984548345696977e-01
1.535340000000000e-02 8.897052916477336e-01
1.597740000000000e-02 8.806748705019155e-01
1.660150000000000e-02 8.713698099135972e-01
1.722560000000000e-02 8.618008982794128e-01
1.784960000000000e-02 8.519793080473521e-01
1.847370000000000e-02 8.419116691285350e-01
1.909770000000000e-02 8.316111693481738e-01
1.972180000000000e-02 8.210846418245108e-01
2.034590000000000e-02 8.103440105035502e-01
2.096990000000000e-02 7.994014771053581e-01
2.159400000000000e-02 7.882640905951774e-01
2.221800000000000e-02 7.769460837705970e-01
2.284210000000000e-02 7.654545893224054e-01
2.346620000000000e-02 7.538022471585690e-01
2.409020000000000e-02 7.420018634788484e-01
2.471430000000000e-02 7.300606060421058e-01
2.533830000000000e-02 7.179932813970961e-01
2.596240000000000e-02 7.058070208688424e-01
2.658650000000000e-02 6.935147504990764e-01
2.721050000000000e-02 6.811294507575928e-01
2.783460000000000e-02 6.686581106705785e-01
2.845860000000000e-02 6.561156399123548e-01
2.908270000000000e-02 6.435088760743325e-01
2.970680000000000e-02 6.308506105284295e-01
3.033080000000000e-02 6.181535814918395e-01
3.095490000000000e-02 6.054243187722215e-01
3.157890000000000e-02 5.926773853457954e-01
3.220300000000000e-02 5.799190551269081e-01
3.282710000000000e-02 5.671615911547627e-01
3.345110000000000e-02 5.544171042755832e-01
3.407520000000000e-02 5.416914145828593e-01
3.469920000000000e-02 5.289983277129056e-01
3.532330000000000e-02 5.163433185911690e-01
3.594740000000000e-02 5.037377714329517e-01
3.657140000000000e-02 4.911928314246562e-01
3.719550000000000e-02 4.787133993454473e-01
3.781950000000000e-02 4.663121676764339e-01
3.844360000000000e-02 4.539936216002088e-01
3.906770000000000e-02 4.417679723521661e-01
3.969170000000000e-02 4.296451203925681e-01
4.031580000000000e-02 4.176288867997305e-01
4.093980000000000e-02 4.057305621025756e-01
4.156390000000000e-02 3.939535027147226e-01
4.218800000000000e-02 3.823065187807830e-01
4.281200000000000e-02 3.707980550167379e-01
4.343610000000000e-02 3.594307469910051e-01
4.406020000000000e-02 3.482124844909121e-01
4.468420000000000e-02 3.371507677681688e-01
4.530830000000000e-02 3.262474939241579e-01
4.593230000000000e-02 3.155112991755106e-01
4.655640000000000e-02 3.049435845844178e-01
4.718050000000000e-02 2.945506244858518e-01
4.780450000000000e-02 2.843382781858310e-01
4.842860000000000e-02 2.743072059136979e-01
4.905260000000000e-02 2.644642519117368e-01
4.967670000000000e-02 2.548095896812075e-01
5.030080000000000e-02 2.453478395229058e-01
5.092480000000000e-02 2.360831991220922e-01
5.154890000000000e-02 2.270151307095569e-01
5.217290000000000e-02 2.181486774651191e-01
5.279700000000000e-02 2.094828444479964e-01
5.342110000000000e-02 2.010206285728267e-01
5.404510000000000e-02 1.927646131955782e-01
5.466920000000000e-02 1.847131500940635e-01
5.529320000000000e-02 1.768695434480775e-01
5.591730000000000e-02 1.692317348769755e-01
5.654140000000000e-02 1.618011905928948e-01
