<X> <Y>
1.000000000000000e-03 1.001614719603578e+00
1.624060000000000e-03 1.000774288651848e+00
2.248120000000000e-03 9.995352582065221e-01
2.872180000000000e-03 9.978989483854612e-01
3.496240000000000e-03 9.958671014852243e-01
4.120300000000000e-03 9.934418792125222e-01
4.744360000000000e-03 9.906258592514791e-01
5.368420000000000e-03 9.874220311736508e-01
5.992480000000000e-03 9.838337916989409e-01
6.616540000000000e-03 9.798649393170815e-01
7.240600000000000e-03 9.755196682803212e-01
7.864660000000001e-03 9.708025619795019e-01
8.488720000000000e-03 9.657185857167494e-01
9.112779999999999e-03 9.602730788892551e-01
9.736840000000000e-03 9.544717465997804e-01
1.036090000000000e-02 9.483206507106172e-01
1.098500000000000e-02 9.418257732257386e-01
1.160900000000000e-02 9.349953661938333e-01
1.223310000000000e-02 9.278343139754951e-01
1.285710000000000e-02 9.203522992223333e-01
1.348120000000000e-02 9.125546175952739e-01
1.410530000000000e-02 9.044504298105235e-01
1.472930000000000e-02 8.960493731670243e-01
1.535340000000000e-02 8.873572889619514e-01
1.597740000000000e-02 8.783857492137858e-01
1.660150000000000e-02 8.691409079456073e-01
1.722560000000000e-02 8.596334388008239e-01
1.784960000000000e-02 8.498743971456242e-01
1.847370000000000e-02 8.398703246762915e-01
1.909770000000000e-02 8.296342795506607e-01
1.972180000000000e-02 8.191730054140729e-01
2.034590000000000e-02 8.084983052421637e-01
2.096990000000000e-02 7.976222590341451e-01
2.159400000000000e-02 7.865518259850692e-01
2.221800000000000e-02 7.753011065580706e-01
2.284210000000000e-02 7.638771445315081e-01
2.346620000000000e-02 7.522924592275455e-01
2.409020000000000e-02 7.405597370869786e-01
2.471430000000000e-02 7.286860597931323e-01
2.533830000000000e-02 7.166861058757489e-01
2.596240000000000e-02 7.045669234738534e-01
2.658650000000000e-02 6.923413248503159e-01
2.721050000000000e-02 6.800221790036397e-01
2.783460000000000e-02 6.676163975203758e-01
2.845860000000000e-02 6.551387729081920e-01
2.908270000000000e-02 6.425960700270109e-01
2.970680000000000e-02 6.300009791234450e-01
3.033080000000000e-02 6.173661408923359e-01
3.095490000000000e-02 6.046980206566756e-01
3.157890000000000e-02 5.920110807724638e-01
3.220300000000000e-02 5.793115368682967e-01
3.282710000000000e-02 5.666115684262215e-01
3.345110000000000e-02 5.539232073724182e-01
3.407520000000000e-02 5.412522256962613e-01
3.469920000000000e-02 5.286123494724304e-01
3.532330000000000e-02 5.160090127915978e-01
3.594740000000000e-02 5.034535375701651e-01
3.657140000000000e-02 4.909570120476647e-01
3.719550000000000e-02 4.785243076009720e-01
3.781950000000000e-02 4.661680612799208e-01
3.844360000000000e-02 4.538927367202504e-01
3.906770000000000e-02 4.417085063731838e-01
3.969170000000000e-02 4.296252376262014e-01
4.031580000000000e-02 4.176467419382832e-01
4.093980000000000e-02 4.057842800082429e-01
4.156390000000000e-02 3.940412065565602e-01
4.218800000000000e-02 3.824263171695185e-01
4.281200000000000e-02 3.709480477076793e-01
4.343610000000000e-02 3.596090436927776e-01
4.406020000000000e-02 3.484171945821951e-01
4.468420000000000e-02 3.373800058231421e-01
4.530830000000000e-02 3.264993955870959e-01
4.593230000000000e-02 3.157840101750157e-01
4.655640000000000e-02 3.052352787103815e-01
4.718050000000000e-02 2.948594973700052e-01
4.780450000000000e-02 2.846625522661638e-01
4.842860000000000e-02 2.746451413731625e-01
4.905260000000000e-02 2.648141408963395e-01
4.967670000000000e-02 2.551697679101997e-01
5.030080000000000e-02 2.457166836505331e-01
5.092480000000000e-02 2.364591308540798e-01
5.154890000000000e-02 2.273966229884490e-01
5.217290000000000e-02 2.185342531382823e-01
5.279700000000000e-02 2.098710819211444e-01
5.342110000000000e-02 2.014101621031510e-01
5.404510000000000e-02 1.931541359415108e-01
5.466920000000000e-02 1.851014159806431e-01
5.529320000000000e-02 1.772553693412568e-01
5.591730000000000e-02 1.696140009922084e-01
5.654140000000000e-02 1.621788429601381e-01
5.716540000000000e-02 1.549510392862028e-01
5.778950000000000e-02 1.479280257941865e-01
5.841350000000000e-02 1.411115621472701e-01
5.903760000000000e-02 1.344987356934151e-01
5.966170000000000e-02 1.280896973030862e-01
6.028570000000000e-02 1.218842444831045e-01
6.090980000000000e-02 1.158789922535741e-01
6.153380000000000e-02 1.100742615313553e-01
6.215790000000000e-02 1.044663879035141e-01
6.278200000000000e-02 9.905432128066241e-02
6.340600000000000e-02 9.383670212489108e-02
6.403010000000001e-02 8.880950236193305e-02
6.465410000000001e-02 8.397181040362828e-02
6.527819999999999e-02 7.931939361741287e-02
6.590230000000000e-02 7.485020944723195e-02
6.652630000000000e-02 7.056195610320518e-02
6.715040000000000e-02 6.645015161414512e-02
6.777440000000000e-02 6.251288226913419e-02
6.839850000000000e-02 5.874553815610224e-02
6.902260000000000e-02 5.514530841662407e-02
6.964660000000000e-02 5.170917646875210e-02
7.027070000000001e-02 4.843239705855781e-02
7.089470000000000e-02 4.531229556698726e-02
7.151879999999999e-02 4.234407332337114e-02
7.214290000000000e-02 3.952437879285079e-02
7.276690000000000e-02 3.684970867288349e-02
7.339100000000000e-02 3.431523717549110e-02
7.401500000000000e-02 3.191776831845645e-02
7.463910000000000e-02 2.965249194408205e-02
7.526320000000000e-02 2.751573577785999e-02
7.588720000000000e-02 2.550372762363768e-02
7.651130000000000e-02 2.361172801554337e-02
7.713530000000000e-02 2.183624640488957e-02
7.775940000000001e-02 2.017261974971156e-02
7.838349999999999e-02 1.861705771594355e-02
7.900749999999999e-02 1.716571763417321e-02
7.963160000000000e-02 1.581409090435057e-02
8.025560000000000e-02 1.455859728173767e-02
8.087970000000000e-02 1.339485506709649e-02
8.150380000000000e-02 1.231913368877806e-02
8.212780000000000e-02 1.132769189787707e-02
8.275190000000000e-02 1.041636960252741e-02
